# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/cordon_jc/prosite_alignments_for_logos/hmmer_hhm/PS00108.msa.hmm
# target sequence database:        /home/cordon_jc/kinases_IPR000719 (2).fasta
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       PS00108  [M=13]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence                                          Description
    2.7e-07   27.9   0.9    6.4e-07   26.7   0.9    1.7  1  P31325|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
    2.8e-07   27.8   2.0    9.8e-07   26.1   2.0    2.0  1  P38991|reviewed|Spindle                            assembly checkpoint kinase|taxID
    2.8e-07   27.8   0.9    6.4e-07   26.7   0.9    1.7  1  P15735|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
    2.8e-07   27.8   1.0      7e-07   26.6   1.0    1.7  1  O59790|reviewed|Serine/threonine-protein           kinase ark1|taxID:284812
    2.8e-07   27.8   0.9    6.4e-07   26.7   0.9    1.6  1  Q9DB30|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
    2.8e-07   27.8   1.5    5.5e-07   26.9   1.5    1.5  1  Q6A1A2|reviewed|Putative                           3-phosphoinositide-dependent pro
    2.8e-07   27.8   0.9    6.4e-07   26.7   0.9    1.6  1  Q2KJ16|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
    2.9e-07   27.8   0.6    6.9e-07   26.6   0.6    1.7  1  Q91727|reviewed|Cyclin-dependent                   kinase 4|taxID:8355
    2.9e-07   27.8   0.9      6e-07   26.8   0.9    1.6  1  Q16816|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
      3e-07   27.7   0.9    6.1e-07   26.8   0.9    1.6  1  P13286|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
      3e-07   27.7   0.9      6e-07   26.8   0.9    1.5  1  P00518|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
      3e-07   27.7   0.9    6.1e-07   26.8   0.9    1.5  1  P07934|reviewed|Phosphorylase                      b kinase gamma catalytic chain, 
      3e-07   27.7   1.7    6.3e-07   26.7   1.7    1.6  1  Q6C3J2|reviewed|Spindle                            assembly checkpoint kinase|taxID
    3.2e-07   27.6   1.7    9.2e-07   26.2   1.7    1.8  1  P39009|reviewed|DNA                                damage response protein kinase D
    3.2e-07   27.6   1.1      1e-06   26.1   1.1    1.9  1  A0A2I0BVG8|reviewed|Calcium-dependent              protein kinase 1|taxID:5843
    3.2e-07   27.6   1.1      1e-06   26.1   1.1    1.9  1  P62343|reviewed|Calcium-dependent                  protein kinase 1|taxID:5839
    3.2e-07   27.6   1.1      1e-06   26.1   1.1    1.9  1  P62344|reviewed|Calcium-dependent                  protein kinase 1|taxID:36329
    3.3e-07   27.6   1.1      1e-06   26.1   1.1    1.9  1  A0A509AHB6|reviewed|Calcium-dependent              protein kinase 1|taxID:5823
    3.4e-07   27.6   1.1      1e-06   26.0   1.1    1.9  1  Q7RAH3|reviewed|Calcium-dependent                  protein kinase 1|taxID:73239
    3.5e-07   27.5   0.6    6.5e-07   26.7   0.6    1.5  1  P11802|reviewed|Cyclin-dependent                   kinase 4|taxID:9606
    3.6e-07   27.5   0.6    6.5e-07   26.7   0.6    1.5  1  P79432|reviewed|Cyclin-dependent                   kinase 4|taxID:9823
    3.6e-07   27.5   0.6    6.5e-07   26.7   0.6    1.5  1  B2MVY4|reviewed|Cyclin-dependent                   kinase 4|taxID:9940
    3.6e-07   27.5   0.6    6.5e-07   26.7   0.6    1.5  1  Q32KY4|reviewed|Cyclin-dependent                   kinase 4|taxID:9913
    3.7e-07   27.4   1.5    8.1e-07   26.4   1.5    1.6  1  O15530|reviewed|3-phosphoinositide-dependent       protein kinase 1|taxID:9606
    3.7e-07   27.4   1.5    8.1e-07   26.4   1.5    1.6  1  Q9Z2A0|reviewed|3-phosphoinositide-dependent       protein kinase 1|taxID:10090
    3.7e-07   27.4   1.5    8.1e-07   26.4   1.5    1.6  1  O55173|reviewed|3-phosphoinositide-dependent       protein kinase 1|taxID:10116
    4.1e-07   27.3   1.3    1.2e-06   25.9   1.3    1.9  1  Q5XIT0|reviewed|Cyclin-dependent                   kinase-like 2|taxID:10116
    4.1e-07   27.3   1.3    1.4e-06   25.7   1.3    2.0  1  Q9JM01|reviewed|Cyclin-dependent                   kinase-like 3|taxID:10116
    4.2e-07   27.3   0.8    1.1e-06   26.0   0.8    1.8  1  Q9Y7J6|reviewed|Serine/threonine-protein           kinase ppk21|taxID:284812
    4.2e-07   27.3   1.3    2.2e-06   25.1   0.5    2.4  1  P06245|reviewed|cAMP-dependent                     protein kinase type 2|taxID:5592
    4.4e-07   27.2   1.3    1.1e-06   25.9   1.3    1.8  1  Q92772|reviewed|Cyclin-dependent                   kinase-like 2|taxID:9606
    4.4e-07   27.2   1.3    1.1e-06   25.9   1.3    1.8  1  Q5R754|reviewed|Cyclin-dependent                   kinase-like 2|taxID:9601
    4.5e-07   27.2   0.7    1.1e-06   26.0   0.7    1.7  1  Q8SQU8|reviewed|Probable                           cell division protein kinase ECU
    4.6e-07   27.2   1.3    1.3e-06   25.7   1.3    1.9  1  Q9QUK0|reviewed|Cyclin-dependent                   kinase-like 2|taxID:10090
    4.8e-07   27.1   1.3    1.4e-06   25.6   1.3    1.9  1  Q8BLF2|reviewed|Cyclin-dependent                   kinase-like 3|taxID:10090
    5.1e-07   27.0   0.9    1.1e-06   26.0   0.9    1.6  1  Q12701|reviewed|Serine/threonine-protein           kinase ksg1|taxID:284812
    5.1e-07   27.0   0.6    1.2e-06   25.8   0.6    1.7  1  Q8W490|reviewed|Serine/threonine-protein           kinase PEPKR2|taxID:3702
    5.2e-07   27.0   1.3    1.4e-06   25.7   1.3    1.8  1  Q4R8T9|reviewed|Cyclin-dependent                   kinase-like 3|taxID:9541
    5.3e-07   27.0   1.3    1.4e-06   25.7   1.3    1.8  1  Q8IVW4|reviewed|Cyclin-dependent                   kinase-like 3|taxID:9606
    5.3e-07   26.9   0.4      1e-06   26.1   0.4    1.5  1  Q9SPK4|reviewed|Phosphoenolpyruvate                carboxylase kinase 1|taxID:3702
    5.4e-07   26.9   0.5    1.2e-06   25.8   0.5    1.7  1  Q8IBS5|reviewed|Calcium-dependent                  protein kinase 4|taxID:36329
    5.4e-07   26.9   1.3    1.3e-06   25.7   1.3    1.7  1  Q9TTK0|reviewed|Cyclin-dependent                   kinase-like 2|taxID:9986
    5.4e-07   26.9   1.3    1.3e-06   25.7   1.3    1.7  1  Q4R7T5|reviewed|Cyclin-dependent                   kinase-like 2|taxID:9541
    5.5e-07   26.9   0.3    1.6e-06   25.5   0.3    1.9  1  P53233|reviewed|Probable                           serine/threonine-protein kinase 
    5.5e-07   26.9   0.5    1.2e-06   25.8   0.5    1.6  1  P62345|reviewed|Calcium-dependent                  protein kinase 4|taxID:5823
    5.5e-07   26.9   0.5    1.2e-06   25.8   0.5    1.6  1  Q7RJG2|reviewed|Calcium-dependent                  protein kinase 4|taxID:73239
    5.5e-07   26.9   3.1    4.4e-05   21.0   0.3    3.5  1  Q00536|reviewed|Cyclin-dependent                   kinase 16|taxID:9606
    5.6e-07   26.9   0.6    1.8e-06   25.3   0.6    2.0  1  Q59S66|reviewed|Spindle                            assembly checkpoint kinase|taxID
    5.7e-07   26.9   0.5    1.7e-06   25.4   0.5    1.9  1  Q54TW2|reviewed|Probable                           serine/threonine-protein kinase 
      6e-07   26.8   0.4    1.9e-06   25.2   0.4    1.9  1  A3EZ53|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:245175
      6e-07   26.8   0.4    1.9e-06   25.2   0.4    1.9  1  A3EZ54|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:148960
    6.3e-07   26.7   0.4    2.6e-06   24.8   0.4    2.2  1  P54666|reviewed|Cell                               division control protein 2 homol
    6.4e-07   26.7   0.9    1.8e-06   25.3   0.9    1.9  1  Q5A3P6|reviewed|Serine/threonine-protein           kinase PKH2|taxID:237561
    6.4e-07   26.7   1.5    1.7e-06   25.4   1.5    1.8  1  Q07192|reviewed|Dual                               specificity mitogen-activated pr
    6.5e-07   26.7   0.8    1.9e-06   25.2   0.8    1.9  1  Q09892|reviewed|Mitogen-activated                  protein kinase sty1|taxID:284812
    6.5e-07   26.7   0.6    6.5e-07   26.7   0.6    2.0  1  P30285|reviewed|Cyclin-dependent                   kinase 4|taxID:10090
    6.5e-07   26.7   0.6    6.5e-07   26.7   0.6    2.0  1  P35426|reviewed|Cyclin-dependent                   kinase 4|taxID:10116
    6.6e-07   26.7   1.5    1.4e-06   25.6   1.5    1.6  1  P47809|reviewed|Dual                               specificity mitogen-activated pr
    6.6e-07   26.7   0.2    2.8e-06   24.7   0.2    2.2  1  Q5I6M2|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:93612
    6.6e-07   26.7   0.8    1.6e-06   25.5   0.8    1.7  1  A0A509AQE6|reviewed|Calcium-dependent              protein kinase 5|taxID:5823
    6.6e-07   26.7   1.5    1.5e-06   25.6   1.5    1.6  1  P45985|reviewed|Dual                               specificity mitogen-activated pr
    6.7e-07   26.6   0.4    2.2e-06   25.0   0.4    2.0  1  Q95YH0|reviewed|Probable                           cyclin-dependent kinase 8|taxID:
    6.8e-07   26.6   0.7    1.6e-06   25.5   0.7    1.7  1  P25323|reviewed|Myosin                             light chain kinase A|taxID:44689
    6.8e-07   26.6   1.7    1.4e-06   25.6   1.7    1.6  1  Q03407|reviewed|Serine/threonine-protein           kinase PKH1|taxID:559292
    7.2e-07   26.6   1.7    7.2e-07   26.6   1.7    2.1  1  Q6BVA0|reviewed|Spindle                            assembly checkpoint kinase|taxID
    7.2e-07   26.5   0.2      3e-06   24.6   0.2    2.2  1  Q0U4L8|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:321614
    7.2e-07   26.5   1.5    1.3e-06   25.7   1.5    1.4  1  Q9Y884|reviewed|MAP                                kinase kinase skh1/pek1|taxID:28
    7.3e-07   26.5   0.9    7.3e-07   26.5   0.9    2.3  1  Q8MYF1|reviewed|Probable                           serine/threonine-protein kinase 
    7.4e-07   26.5   0.8    7.4e-07   26.5   0.8    2.5  1  P47355|reviewed|Putative                           serine/threonine-protein kinase|
    7.6e-07   26.5   0.3    1.2e-06   25.9   0.3    1.3  1  P39746|reviewed|Dual                               specificity mitogen-activated pr
    7.7e-07   26.5   0.2      3e-06   24.6   0.2    2.1  1  Q2WFL5|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:101162
    7.7e-07   26.5   0.2      3e-06   24.6   0.2    2.1  1  Q4W6D3|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:5016
    7.7e-07   26.5   0.2      3e-06   24.6   0.2    2.1  1  Q52PH6|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:29001
    7.7e-07   26.4   0.5    2.1e-06   25.1   0.5    1.8  1  Q9FLZ3|reviewed|SNF1-related                       protein kinase catalytic subunit
    7.8e-07   26.4   0.4    2.8e-06   24.7   0.4    2.0  1  Q97PA9|reviewed|Serine/threonine-protein           kinase StkP|taxID:170187
    7.8e-07   26.4   0.4    2.8e-06   24.7   0.4    2.0  1  Q8KY50|reviewed|Serine/threonine-protein           kinase StkP|taxID:1313
    7.8e-07   26.4   0.4    2.8e-06   24.7   0.4    2.0  1  Q04J43|reviewed|Serine/threonine-protein           kinase StkP|taxID:373153
    7.8e-07   26.4   0.4    2.8e-06   24.7   0.4    2.0  1  Q8DNS0|reviewed|Serine/threonine-protein           kinase StkP|taxID:171101
    7.9e-07   26.4   0.4    2.7e-06   24.7   0.4    2.0  1  Q9P419|reviewed|Mitogen-activated                  protein kinase hog1|taxID:227321
    7.9e-07   26.4   0.7    1.7e-06   25.4   0.7    1.6  1  Q54CY9|reviewed|Probable                           myosin light chain kinase DDB_G0
      8e-07   26.4   0.3    2.6e-06   24.8   0.3    1.9  1  P34101|reviewed|Probable                           serine/threonine-protein kinase 
      8e-07   26.4   0.7    3.4e-06   24.4   0.7    2.2  1  O74536|reviewed|SNF1-like                          protein kinase ssp2|taxID:284812
    8.1e-07   26.4   0.9      2e-06   25.2   0.9    1.7  1  Q336M2|reviewed|Cyclin-dependent                   kinase E-1|taxID:39947
    8.1e-07   26.4   0.2    2.3e-06   25.0   0.2    1.9  1  Q54PB4|reviewed|Probable                           myosin light chain kinase DDB_G0
    8.4e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  Q8NJT7|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:91943
    8.6e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  Q38HL5|reviewed|Mitogen-activated                  protein kinase hog1|taxID:41413
    8.7e-07   26.3   1.7    8.7e-07   26.3   1.7    2.3  1  F4I1N8|reviewed|Serine/threonine-protein           kinase ATG1t|taxID:3702
    8.7e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  A1CPG7|reviewed|Mitogen-activated                  protein kinase hog1|taxID:344612
    8.7e-07   26.3   0.9    1.9e-06   25.3   0.9    1.6  1  O88445|reviewed|Aurora                             kinase C|taxID:10090
    8.7e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  A1D2C9|reviewed|Mitogen-activated                  protein kinase hog1|taxID:331117
    8.7e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  B0XR80|reviewed|Mitogen-activated                  protein kinase sakA|taxID:451804
    8.7e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  Q4WSF6|reviewed|Mitogen-activated                  protein kinase hog1|taxID:330879
    8.8e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  A2QRF6|reviewed|Mitogen-activated                  protein kinase hog1|taxID:425011
    8.8e-07   26.3   0.4    2.6e-06   24.8   0.4    1.9  1  Q0D0P5|reviewed|Mitogen-activated                  protein kinase hog1|taxID:341663
    8.8e-07   26.3   0.8    2.2e-06   25.0   0.8    1.7  1  A2QN07|reviewed|Mitogen-activated                  protein kinase mpkC|taxID:425011
    8.9e-07   26.3   0.8    2.3e-06   25.0   0.8    1.8  1  G5EDT6|reviewed|Dual                               specificity mitogen-activated pr
    8.9e-07   26.3   0.7    3.2e-06   24.5   0.7    2.1  1  O77708|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit d
      9e-07   26.2   0.9      2e-06   25.2   0.9    1.6  1  O64629|reviewed|Serine/threonine-protein           kinase Aurora-3|taxID:3702
      9e-07   26.2   0.7    2.9e-06   24.6   0.7    2.0  1  Q95266|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit d
    9.2e-07   26.2   1.1    2.6e-06   24.8   1.1    1.9  1  Q9FZ59|reviewed|Leucine-rich                       repeat receptor-like protein kin
    9.3e-07   26.2   1.5      2e-06   25.2   1.5    1.6  1  G4N6Z6|reviewed|Mitogen-activated                  protein kinase kinae MKK2|taxID:
    9.4e-07   26.2   0.7    3.2e-06   24.5   0.7    2.0  1  P15791|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit d
    9.4e-07   26.2   1.0      3e-06   24.6   0.2    2.3  1  A1IVT7|reviewed|Mitogen-activated                  protein kinase hog1|taxID:332648
    9.4e-07   26.2   0.8    2.1e-06   25.1   0.8    1.6  1  Q5MAI5|reviewed|Cyclin-dependent                   kinase-like 4|taxID:9606
    9.5e-07   26.2   0.7    2.8e-06   24.7   0.7    1.9  1  Q9DG02|reviewed|Calcium/calmodulin-dependent       protein kinase type II delta cha
    9.5e-07   26.2   1.5    1.9e-06   25.2   1.5    1.5  1  B0XPE4|reviewed|Mitogen-activated                  protein kinase kinae mkk2|taxID:
    9.5e-07   26.2   1.5    1.9e-06   25.2   1.5    1.5  1  Q4WJJ0|reviewed|Mitogen-activated                  protein kinase kinae mkk2|taxID:
    9.5e-07   26.2   0.9    1.8e-06   25.3   0.9    1.5  1  O96017|reviewed|Serine/threonine-protein           kinase Chk2|taxID:9606
    9.6e-07   26.2   0.7    2.9e-06   24.6   0.7    1.9  1  Q13557|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit d
    9.6e-07   26.2   0.7    2.9e-06   24.6   0.7    1.9  1  Q6PHZ2|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit d
    9.7e-07   26.1   0.9    2.9e-06   24.6   0.9    1.9  1  D7UQM5|reviewed|Aurora                             kinase|taxID:7594
    9.7e-07   26.1   1.7    2.1e-06   25.1   1.7    1.6  1  Q12236|reviewed|Serine/threonine-protein           kinase PKH2|taxID:559292
    9.8e-07   26.1   0.9    2.1e-06   25.1   0.9    1.6  1  Q9UQB9|reviewed|Aurora                             kinase C|taxID:9606
    9.8e-07   26.1   2.3    2.6e-06   24.8   2.3    1.8  1  Q7T6Y1|reviewed|Putative                           serine/threonine-protein kinase 
    9.8e-07   26.1   0.7    2.8e-06   24.7   0.7    1.9  1  Q5ZKI0|reviewed|Calcium/calmodulin-dependent       protein kinase type II delta cha
    9.9e-07   26.1   0.9    2.4e-06   24.9   0.9    1.7  1  Q9N0X0|reviewed|Aurora                             kinase B|taxID:9823
    9.9e-07   26.1   0.5    2.5e-06   24.9   0.5    1.7  1  P32491|reviewed|MAP                                kinase kinase MKK2/SSP33|taxID:5
    9.9e-07   26.1   0.4    2.6e-06   24.8   0.4    1.8  1  Q1DUU8|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:246410
    9.9e-07   26.1   0.7    3.7e-06   24.3   0.7    2.1  1  Q00372|reviewed|Carbon                             catabolite-derepressing protein 
    9.9e-07   26.1   0.2      3e-06   24.6   0.2    1.9  1  Q8TGA9|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:34373
      1e-06   26.1   0.9    2.2e-06   25.0   0.9    1.6  1  Q6NW76|reviewed|Aurora                             kinase B|taxID:7955
      1e-06   26.1   0.7    2.9e-06   24.7   0.7    1.8  1  Q2HJF7|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit d
      1e-06   26.1   0.2    3.1e-06   24.6   0.2    1.9  1  Q4PC06|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:237631
      1e-06   26.1   0.5    2.1e-06   25.1   0.5    1.5  1  Q9W0V1|reviewed|3-phosphoinositide-dependent       protein kinase 1|taxID:7227
      1e-06   26.1   0.9    1.8e-06   25.3   0.9    1.4  1  Q9Z265|reviewed|Serine/threonine-protein           kinase Chk2|taxID:10090
      1e-06   26.1   0.2    3.1e-06   24.6   0.2    1.9  1  Q875L0|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:5116
      1e-06   26.1   0.4    2.4e-06   24.9   0.4    1.7  1  Q39030|reviewed|Serine/threonine-protein           kinase AtPK2/AtPK19|taxID:3702
      1e-06   26.1   2.5    4.4e-05   21.0   0.3    3.5  1  Q63686|reviewed|Cyclin-dependent                   kinase 16|taxID:10116
      1e-06   26.0   2.5    4.4e-05   21.0   0.3    3.5  1  Q04735|reviewed|Cyclin-dependent                   kinase 16|taxID:10090
      1e-06   26.0   3.1    1.2e-06   25.9   0.7    2.3  1  Q9XTR1|reviewed|Cyclin-dependent                   kinase 4 homolog|taxID:6239
    1.1e-06   26.0   0.4    2.3e-06   25.0   0.4    1.6  1  P42818|reviewed|Serine/threonine-protein           kinase AtPK1/AtPK6|taxID:3702
    1.1e-06   26.0   0.9    2.4e-06   24.9   0.9    1.7  1  Q96GD4|reviewed|Aurora                             kinase B|taxID:9606
    1.1e-06   26.0   0.3    3.5e-06   24.4   0.3    2.0  1  Q5BKK4|reviewed|Serine/threonine-protein           kinase Sgk1|taxID:8364
    1.1e-06   26.0   1.0      3e-06   24.6   0.2    2.2  1  Q9UV51|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:242507
    1.1e-06   26.0   1.0      3e-06   24.6   0.2    2.2  1  P0C431|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:229533
    1.1e-06   26.0   1.0      3e-06   24.6   0.2    2.2  1  Q1KTF2|reviewed|Mitogen-activated                  protein kinase Hog1|taxID:336722
    1.1e-06   26.0   0.5    2.3e-06   25.0   0.5    1.6  1  P06244|reviewed|cAMP-dependent                     protein kinase type 1|taxID:5592
    1.1e-06   26.0   1.0    3.1e-06   24.6   0.2    2.2  1  Q2H332|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:306901
    1.1e-06   26.0   0.9    1.1e-06   26.0   0.9    2.3  1  Q8C0X8|reviewed|Sperm                              motility kinase X|taxID:10090
    1.1e-06   26.0   0.2    3.1e-06   24.6   0.2    1.9  1  P0CP68|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:214684
    1.1e-06   26.0   0.2    3.1e-06   24.6   0.2    1.9  1  P0CP69|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:283643
    1.1e-06   26.0   0.2    3.1e-06   24.6   0.2    1.9  1  Q56R42|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:235443
    1.1e-06   26.0   0.7    3.3e-06   24.5   0.7    1.9  1  Q6DGS3|reviewed|Calcium/calmodulin-dependent       protein kinase type II delta 2 c
    1.1e-06   26.0   0.7    3.1e-06   24.5   0.7    1.9  1  Q923T9|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit g
    1.1e-06   26.0   0.5    2.3e-06   25.0   0.5    1.6  1  P43568|reviewed|Serine/threonine-protein           kinase CAK1|taxID:559292
    1.1e-06   26.0   0.7    3.1e-06   24.6   0.7    1.9  1  P11730|reviewed|Calcium/calmodulin-dependent       protein kinase type II subunit g
    1.1e-06   26.0   0.2      3e-06   24.6   0.2    1.8  1  Q2WGK3|reviewed|Mitogen-activated                  protein kinase hog1|taxID:5544
    1.1e-06   26.0   0.9    2.4e-06   24.9   0.9    1.6  1  Q7YRC6|reviewed|Aurora                             kinase B|taxID:9913
    1.1e-06   26.0   0.2      3e-06   24.6   0.2    1.8  1  Q75Q66|reviewed|Mitogen-activated                  protein kinase HOG1|taxID:121385
    1.1e-06   26.0   0.2    3.2e-06   24.5   0.2    1.9  1  M1T7M3|reviewed|Mitogen-activated                  protein kinase HOG1B|taxID:12992
    1.1e-06   26.0   0.4    2.9e-06   24.7   0.4    1.8  1  Q702W0|reviewed|Mitogen-activated                  protein kinase hog1|taxID:409370
    1.1e-06   26.0   0.2      3e-06   24.6   0.2    1.8  1  Q6XKY3|reviewed|Mitogen-activated                  protein kinase hog1|taxID:63577
    1.1e-06   26.0   0.4    3.7e-06   24.3   0.4    2.0  1  Q23023|reviewed|Serine/threonine-protein           kinase unc-51|taxID:6239
